project-id,slug,title,tag,type,description,img,alt,date
21,iodine-ozone,"Global iodine levels to reach record high by 2050, threatening ozone layer",journalism,data journalism,Tracing the rise of iodine in the atmosphere and its impact on the delicate climate of the Arctic region.,grid-image.png,area chart showing iodine levels rising over time,1000-01-01
20,migration,Virginia sees an influx in state-to-state migration for the first time in four years,journalism,data journalism,Exploring annual US domestic migration patterns using a scrolly map.,migration-map-va.png,Domestic migration patterns across the country,1000-01-01
19,banner-elections,Elections 2024,journalism,"data structure, layout design",Created homepage visuals and a voter guide for the 2024 Maryland Primary and General Election.,grid-image.png,banner elections work,1000-01-01
18,banner-products,Data visualizations and products for The Banner,journalism,"data journalism, data pipeline",Visual features that I have created or helped create at The Baltimore Banner.,vertical-video-opiods.png,vertical-video-opiods,1000-01-01
17,streets-songs,"New York, New York",journalism,"data storytelling, mapping, game development",A musical wordle of songs named after places in the city! Made entirely in JavaScript and Mapbox.,grid-image.gif,Taylor Swift,1000-01-01
16,coup,Guinea-Bissau's latest coup attempt is only one of 10 since 2000,journalism,"data storytelling, data visualization","Only one elected president in Guinea-Bissau has ever completed a five-year term in office. An investigation into the country's history of political unrest, visualized in D3.js.",grid-image.png,Guinness-Bisseau President Embalo,1000-01-01
15,broadway,So you think you can Broadway?,journalism,data journalism,A dive into what it takes to go on Broadway.,grid-image.png,black and white picture of a cast performing on stage,1000-01-01
14,dataviz-llm,A week of stories in LLMs,journalism,"data visualization, artificial intelligence",An exploration of stories published by multiple outlets over a week using large-language models and D3.js.,scatterplot.png,scatterplot,1000-01-01
13,superglue,SuperGlue,datadesign,computational journalism,Built a computational journalism tool at MIT for nonverbal language analysis on broadcast news.,superglue.gif,superglue,1000-01-01
12,acquisitions,How did Google acquire over 250 startups in the past 20 years?,journalism,"data storytelling, data visualization",A look at Google's Mergers & Acquisitions strategy across markets and timelines.,grid-image.png,Some timelines of acquisition,1000-01-01
11,irc-log-parser,Interpreting chat networks,datadesign,"social network analysis, data visualization, front-end development","A study on the community dynamics of internet forums. Mined data in Python, mapped it in Gephi and developed a web app in Python to interact with the results.",grid-image.png,a social network,1000-01-01
10,loveletter,Love Letter,datadesign,"UI/UX design, game design",User interface design and React.js implementation of a board game during the pandemic :),main screen.jpg,landing page of the app,1000-01-01
09,fires,"More than 19,000 buildings in New York have open fire code violations",journalism,"data storytelling, data visualization",Mapping fire code violations in the city.,violations-map.png,map of violations,1000-01-01
08,mortality,Six in 100 children still die in Sub-Saharan Africa,journalism,data visualization,Visualizing World Bank data for child mortality rates.,300px.svg,mortality chart,1000-01-01
07,automation,Scrapers,datadesign,web scraping,Python scrapers to automate boring tasks.,automation-grid.jpg,automation,1000-01-01
06,essex-rents,"In Vermont, short-term rental prices shoot to the top",journalism,"data journalism, data visualization","Plotly and Illustrator graphic on the abrupt rise in short-term rental prices in Essex County, Vermont.",grid-image.png,Essex rental prices,1000-01-01
05,baby-names,"Have you met someone named Kindle? Chances are, you will",journalism,data visualization,A quick-and-dirty analysis in Python on the rise in 'Kindle' as a baby name.,babynames.jpg,babynames,1000-01-01
04,gs,Interface for flat SQL querying,datadesign,web and app development,A web and mobile interface for a flat SQL database querying tool in React.js.,gs-internship.jpg,gs,1000-01-01
03,mlcat,Mailing list analysis tool for community pattern detection,datadesign,machine learning,A parser that analyses structures and patterns in mailing list communication.,mlcat.jpg,mlcat,1000-01-01
02,nobelles,Nobelles,datadesign,"layout & editorial design, web design",Concept for a magazine issue on women who have won the Nobel Prize in Literature. Layout in InDesign and components in Illustrator/Figma.,mobile.png,mobile site for the magazine,1000-01-01
01,more-projects,Ideas and more!,datadesign,"machine learning, android app development, facial recognition, graphs, scrapers, illustrations","Ideas, designs, and visualizations.",grid-image.png,srccon-idea-board-zoomed,1000-01-01
